id,incident_number,lat,lng,zip_code
191,180357882,37.75285341932685,-122.40819236737882,94110
192,180357882,37.75285341932685,-122.40819236737882,94110
193,180357898,37.780534538527796,-122.40816295385729,94103
194,180360001,37.783342091672075,-122.3984724160002,94107
195,180357848,37.71863054933365,-122.4727461204186,94132
196,180357917,37.76511929519941,-122.40754490645249,94110
197,180357951,37.73992605563308,-122.44959165889178,94127
198,180358169,37.782841984813125,-122.42166708607135,94109
199,180357810,37.75633027490241,-122.39556536014139,94107
200,180357810,37.75633027490241,-122.39556536014139,94107
201,180357810,37.75633027490241,-122.39556536014139,94107
202,180357779,37.71529689512264,-122.44583577296594,94112
203,180357923,37.78743783091122,-122.4192030042683,94109
204,180357741,37.75425173641473,-122.40595772465181,94110
205,180357741,37.75425173641473,-122.40595772465181,94110
206,180357741,37.75425173641473,-122.40595772465181,94110
207,180357735,37.78698495803619,-122.41912629534178,94109
208,180357713,37.7669871098804,-122.42785716707611,94114
209,180357694,37.77894341050976,-122.40616669139584,94103
210,180357650,37.80414615262001,-122.42511061323069,94109
211,180357650,37.80414615262001,-122.42511061323069,94109
212,180357644,37.77014816722694,-122.41343139741369,94103
213,180357644,37.77014816722694,-122.41343139741369,94103
214,180357729,37.723507722368616,-122.46818291114076,94127
215,180357490,37.783901514065896,-122.46348466954441,94118
216,180358711,37.78071600849889,-122.43042495533437,94115
217,180357440,37.76754844646455,-122.41840887121592,94103
218,180357440,37.76754844646455,-122.41840887121592,94103
219,180357440,37.76754844646455,-122.41840887121592,94103
220,180357371,37.761759724359806,-122.43515009981229,94114
221,180357309,37.77866179439018,-122.40696994408712,94103
222,180357315,37.770006198835794,-122.44693331097456,94117
223,180357456,37.7731024126357,-122.43394905997754,94117
224,180357456,37.7731024126357,-122.43394905997754,94117
225,180357456,37.7731024126357,-122.43394905997754,94117
226,180357484,37.774165824460496,-122.4594869027295,94118
227,180357224,37.765842721337165,-122.4198145938115,94103
228,180357224,37.765842721337165,-122.4198145938115,94103
229,180357274,37.7778540141174,-122.44170538645098,94115
230,180357199,37.76213072476106,-122.42155017646127,94110
231,180357199,37.76213072476106,-122.42155017646127,94110
232,180357359,37.78792110033587,-122.41516049416906,94109
233,180357149,37.80112542629701,-122.41137857315101,94133
234,180357149,37.80112542629701,-122.41137857315101,94133
235,180357149,37.80112542629701,-122.41137857315101,94133
236,180357092,37.75436730700211,-122.3928836105023,94107
237,180357296,37.78673421849833,-122.40589536988726,94108
238,180357296,37.78673421849833,-122.40589536988726,94108
239,180357296,37.78673421849833,-122.40589536988726,94108
240,180357064,37.72693463503532,-122.47797668216899,94132
241,180357064,37.72693463503532,-122.47797668216899,94132
242,180357111,37.77071889658076,-122.42237502685688,94103
243,180356953,37.7760838211857,-122.4371809707796,94117
244,180356975,37.76495589279124,-122.42124028139378,94103
245,180356975,37.76495589279124,-122.42124028139378,94103
246,180356975,37.76495589279124,-122.42124028139378,94103
247,180357042,37.79458624443584,-122.40732139433702,94108
248,180356969,37.766542833629316,-122.44319435184484,94117
249,180357127,37.75562467020066,-122.46579384232334,94122
250,180357412,37.785062942166064,-122.4065209871443,94103
251,180357412,37.785062942166064,-122.4065209871443,94103
252,180356903,37.765605863870505,-122.4104888293078,94110
253,180356931,37.7388979772261,-122.48507389225729,94116
254,180356931,37.7388979772261,-122.48507389225729,94116
255,180357161,37.78844860197047,-122.40761288538702,94108
256,180356862,37.72385901200105,-122.45561586153802,94112
257,180356919,37.74715610797022,-122.42356400536492,94110
258,180356919,37.74715610797022,-122.42356400536492,94110
259,180356834,37.770658327348166,-122.44550661065246,94117
260,180356834,37.770658327348166,-122.44550661065246,94117
261,180357014,37.79915966103936,-122.43422782498344,94123
262,180357058,37.770208195917206,-122.44534678659976,94117
263,180357183,37.77343931356605,-122.48525926398008,94121
264,180356884,37.71068601041103,-122.41184704236068,94134
265,180356759,37.77016118133929,-122.4461656179778,94117
266,180356737,37.770658327348166,-122.44550661065246,94117
267,180356721,37.770658327348166,-122.44550661065246,94117
268,180356793,37.799088066139475,-122.40514995626539,94133
269,180356806,37.79411690579413,-122.39655642617309,94111
270,180356709,37.78520719184194,-122.40669059226074,94102
271,180356668,37.78418935014246,-122.4076335207421,94103
272,180356668,37.78418935014246,-122.4076335207421,94103
273,180356668,37.78418935014246,-122.4076335207421,94103
274,180356646,37.745036433313714,-122.40284168086667,94124
275,180356646,37.745036433313714,-122.40284168086667,94124
276,180356646,37.745036433313714,-122.40284168086667,94124
277,180356652,37.793933823604505,-122.42304929419169,94109
278,180356674,37.773927452481935,-122.41293306238357,94103
279,180356583,37.70919595642674,-122.45460982776692,94112
280,180356486,37.743122014559965,-122.4214886520025,94110
281,180356486,37.743122014559965,-122.4214886520025,94110
282,180356602,37.78613712523799,-122.41985827733934,94109
283,180356602,37.78613712523799,-122.41985827733934,94109
284,180356442,37.783834437414136,-122.4129305220591,94102
