IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
180358432,ASSAULT,THREATS AGAINST LIFE,Monday,05/14/2018,09:30,TARAVAL,"ARREST, BOOKED",1500 Block of 27TH AV,-122.48543981309969,37.75850069113568,POINT (-122.48543981309969 37.75850069113568),18035843219057
180358272,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,05/14/2018,08:54,NORTHERN,NONE,WEBSTER ST / OFARRELL ST,-122.43099240904681,37.78350582637344,POINT (-122.43099240904681 37.78350582637344),18035827264085
180358200,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,05/14/2018,08:25,TENDERLOIN,NONE,300 Block of EDDY ST,-122.4129305220591,37.783834437414136,POINT (-122.4129305220591 37.783834437414136),18035820064020
180358266,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,05/14/2018,08:08,TENDERLOIN,NONE,0 Block of MCALLISTER ST,-122.41259697063744,37.78111921215415,POINT (-122.41259697063744 37.78111921215415),18035826628150
180358266,NON-CRIMINAL,AIDED CASE,Monday,05/14/2018,08:08,TENDERLOIN,NONE,0 Block of MCALLISTER ST,-122.41259697063744,37.78111921215415,POINT (-122.41259697063744 37.78111921215415),18035826651040
180358244,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Monday,05/14/2018,08:00,SOUTHERN,NONE,700 Block of MARKET ST,-122.40535937175287,37.785977476162536,POINT (-122.40535937175287 37.785977476162536),18035824405053
180358244,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Monday,05/14/2018,08:00,SOUTHERN,NONE,700 Block of MARKET ST,-122.40535937175287,37.785977476162536,POINT (-122.40535937175287 37.785977476162536),18035824406363
180358175,WARRANTS,WARRANT ARREST,Monday,05/14/2018,07:47,MISSION,"ARREST, BOOKED",16TH ST / POND ST,-122.43228179167782,37.764289195574904,POINT (-122.43228179167782 37.764289195574904),18035817563010
180358175,NON-CRIMINAL,"CIVIL SIDEWALKS, VIOLATION",Monday,05/14/2018,07:47,MISSION,"ARREST, BOOKED",16TH ST / POND ST,-122.43228179167782,37.764289195574904,POINT (-122.43228179167782 37.764289195574904),18035817564000
180358153,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,05/14/2018,06:59,TENDERLOIN,NONE,LARKIN ST / ELLIS ST,-122.4177103447255,37.78423628778867,POINT (-122.4177103447255 37.78423628778867),18035815368020
180358125,ASSAULT,BATTERY,Monday,05/14/2018,06:25,SOUTHERN,"ARREST, BOOKED",100 Block of OTIS ST,-122.42030348249165,37.77089688585604,POINT (-122.42030348249165 37.77089688585604),18035812504134
180358056,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,05/14/2018,02:41,MISSION,"ARREST, BOOKED",21ST ST / TREAT AV,-122.41344955677596,37.75736377959691,POINT (-122.41344955677596 37.75736377959691),18035805662050
180358034,OTHER OFFENSES,TRAFFIC VIOLATION,Monday,05/14/2018,01:50,TARAVAL,"ARREST, BOOKED",19TH AV / SLOAT BL,-122.47510200629827,37.734623708357,POINT (-122.47510200629827 37.734623708357),18035803465015
180358034,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Monday,05/14/2018,01:50,TARAVAL,"ARREST, BOOKED",19TH AV / SLOAT BL,-122.47510200629827,37.734623708357,POINT (-122.47510200629827 37.734623708357),18035803465050
